date,open,high,low,close,volume,polarity
2022-01-03,382.583344,400.356659,378.679993,399.926666,103931400,
2022-01-04,396.516663,402.666656,374.350006,383.196655,100248300,Decrease
2022-01-05,382.216675,390.113342,360.33667,362.706665,80119800,Decrease
2022-01-06,359.0,362.666656,340.166656,354.899994,90336600,Decrease
2022-01-07,360.123322,360.309998,336.666656,342.320007,84164700,Decrease
2022-01-10,333.333344,353.033325,326.666656,352.706665,91815000,Increase
2022-01-11,351.223328,358.616669,346.273346,354.799988,66063300,Increase
2022-01-12,359.616669,371.613342,357.529999,368.73999,83739000,Increase
2022-01-13,369.690002,371.866669,342.179993,343.853333,97209900,Decrease
2022-01-14,339.959991,350.666656,337.793335,349.869995,72924300,Increase
2022-01-18,342.203339,356.929993,338.686676,343.503326,66743400,Decrease
2022-01-19,347.236664,351.556671,331.666656,331.883331,75442500,Decrease
2022-01-20,336.57666,347.220001,331.333344,332.089996,70488600,Increase
2022-01-21,332.113342,334.850006,313.5,314.633331,103416000,Decrease
2022-01-24,301.58667,311.170013,283.823334,310.0,151565700,Decrease
2022-01-25,304.733337,317.08667,301.070007,306.133331,86595900,Decrease
2022-01-26,317.476654,329.230011,302.0,312.470001,104867400,Increase
2022-01-27,311.119995,311.796661,276.333344,276.366669,147109500,Decrease
2022-01-28,277.186676,285.833344,264.003326,282.116669,134789100,Increase
2022-01-31,290.90332,312.66333,287.350006,312.23999,104436000,Increase
2022-02-01,311.736664,314.566681,301.666656,310.416656,73138200,Decrease
2022-02-02,309.393341,310.5,296.470001,301.886658,66792900,Decrease
2022-02-03,294.0,312.333344,293.506653,297.046661,78855600,Decrease
2022-02-04,299.073334,312.166656,293.723328,307.773346,73625400,Increase
2022-02-07,307.929993,315.92334,300.90332,302.446655,60994500,Decrease
2022-02-08,301.843323,308.763336,298.266663,307.333344,50729100,Increase
2022-02-09,311.666656,315.42334,306.666656,310.666656,52259400,Increase
2022-02-10,302.790009,314.603333,298.899994,301.516663,66126900,Decrease
2022-02-11,303.209991,305.320007,283.566681,286.666656,79645800,Decrease
2022-02-14,287.190002,299.626678,284.383331,291.920013,67756500,Increase
2022-02-15,300.0,307.666656,297.793335,307.476654,57286200,Increase
2022-02-16,304.683319,308.809998,300.40332,307.796661,51294300,Increase
2022-02-17,304.420013,306.166656,291.366669,292.116669,55178400,Decrease
2022-02-18,295.333344,295.623322,279.203339,285.660004,68501700,Decrease
2022-02-22,278.043335,285.57666,267.033325,273.843323,83288100,Decrease
2022-02-23,276.809998,278.433319,253.520004,254.679993,95256900,Decrease
2022-02-24,233.463333,267.493347,233.333328,266.92334,135322200,Increase
