,date,sentiment,open,high,low,close,polarity
427,2022-02-01,positive,311.736664,314.566681,301.666656,310.416656,negative
444,2022-01-31,neutral,290.90332,312.66333,287.350006,312.23999,positive
446,2022-01-31,negative,290.90332,312.66333,287.350006,312.23999,positive
448,2022-01-31,positive,290.90332,312.66333,287.350006,312.23999,positive
460,2022-01-28,positive,277.186676,285.833344,264.003326,282.116669,positive
461,2022-01-28,negative,277.186676,285.833344,264.003326,282.116669,positive
462,2022-01-28,neutral,277.186676,285.833344,264.003326,282.116669,positive
500,2022-01-27,neutral,311.119995,311.796661,276.333344,276.366669,negative
511,2022-01-27,positive,311.119995,311.796661,276.333344,276.366669,negative
526,2022-01-26,neutral,317.476654,329.230011,302.0,312.470001,positive
530,2022-01-26,positive,317.476654,329.230011,302.0,312.470001,positive
531,2022-01-26,negative,317.476654,329.230011,302.0,312.470001,positive
538,2022-01-25,positive,304.733337,317.08667,301.070007,306.133331,negative
539,2022-01-25,neutral,304.733337,317.08667,301.070007,306.133331,negative
556,2022-01-21,positive,332.113342,334.850006,313.5,314.633331,negative
557,2022-01-21,neutral,332.113342,334.850006,313.5,314.633331,negative
559,2022-01-21,negative,332.113342,334.850006,313.5,314.633331,negative
578,2022-01-20,neutral,336.57666,347.220001,331.333344,332.089996,positive
582,2022-01-20,positive,336.57666,347.220001,331.333344,332.089996,positive
588,2022-01-19,neutral,347.236664,351.556671,331.666656,331.883331,negative
589,2022-01-19,positive,347.236664,351.556671,331.666656,331.883331,negative
604,2022-01-19,negative,347.236664,351.556671,331.666656,331.883331,negative
622,2022-01-18,neutral,342.203339,356.929993,338.686676,343.503326,negative
625,2022-01-18,positive,342.203339,356.929993,338.686676,343.503326,negative
633,2022-01-18,negative,342.203339,356.929993,338.686676,343.503326,negative
656,2022-01-14,neutral,339.959991,350.666656,337.793335,349.869995,positive
659,2022-01-14,positive,339.959991,350.666656,337.793335,349.869995,positive
666,2022-01-13,neutral,369.690002,371.866669,342.179993,343.853333,negative
672,2022-01-12,positive,359.616669,371.613342,357.529999,368.73999,positive
680,2022-01-11,neutral,351.223328,358.616669,346.273346,354.799988,positive
681,2022-01-11,positive,351.223328,358.616669,346.273346,354.799988,positive
686,2022-01-10,neutral,333.333344,353.033325,326.666656,352.706665,positive
687,2022-01-10,positive,333.333344,353.033325,326.666656,352.706665,positive
692,2022-01-07,neutral,360.123322,360.309998,336.666656,342.320007,negative
693,2022-01-07,positive,360.123322,360.309998,336.666656,342.320007,negative
696,2022-01-06,positive,359.0,362.666656,340.166656,354.899994,negative
697,2022-01-06,neutral,359.0,362.666656,340.166656,354.899994,negative
700,2022-01-05,neutral,382.216675,390.113342,360.33667,362.706665,negative
708,2022-01-04,neutral,396.516663,402.666656,374.350006,383.196655,negative
709,2022-01-04,positive,396.516663,402.666656,374.350006,383.196655,negative
710,2022-01-04,negative,396.516663,402.666656,374.350006,383.196655,negative
